DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2018-Q2,,c
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2018-Q3,,c
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2018-Q4,,c
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2019-Q1,,c
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2019-Q2,,c
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2019-Q3,,c
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2019-Q4,,c
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2020-Q1,,c
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2020-Q2,,c
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2020-Q3,,c
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2020-Q4,,c
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2021-Q1,49.3,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2021-Q2,44.8,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2021-Q3,36.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,HU,2021-Q4,47.5,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2018-Q1,210.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2018-Q2,350.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2018-Q3,50.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2018-Q4,170.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2019-Q1,170.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2019-Q2,150.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2019-Q3,120.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2019-Q4,190.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2020-Q1,200.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2020-Q2,150.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2020-Q3,60.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2020-Q4,50.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2021-Q1,130.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2021-Q2,220.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2021-Q3,80.0,p
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,IS,2021-Q4,50.0,p
